tweet_id,author_id,text,created_at,intent,should_escalate,escalation_reason,predicted_intent
2746350,769071,"@SpotifyCares and as far as i can tell, they're still out of sync (based on some initial tests just now)",Mon Nov 20 22:29:13 +0000 2017,app_technical_issue,false,not needed,app_technical_issue
841113,320113,"@SpotifyCares I don’t really use it whilst I’m at home, it’s whilst I’m on my way to and from work. Voice control pops up all the time too",Mon Oct 09 12:54:09 +0000 2017,app_technical_issue,false,not needed,feature_information
967386,349446,@SpotifyCares aight. thank you.,Sat Oct 14 04:50:53 +0000 2017,feedback_other,false,not needed,feedback_other
1102971,380275,"@SpotifyCares ...dent it does not allow me to ""choose file"" I've tried this 3 times and have now been charged 4.99$ 3 times.",Tue Oct 24 02:20:54 +0000 2017,billing_payment,true,duplicate charge/refund investigation,billing_payment
393176,209118,"@SpotifyCares Evening!

How come you've removed the ""In Rotation"" from the Hip Hop section? All I see is Playlists and New Releases now..",Mon Oct 09 16:56:41 +0000 2017,feature_information,false, not needed,feature_information
2552729,725081,"@SpotifyCares The band called The Aristocrates @98802 formed in 2011 does not have an album called Steel Drum Favorites (2000), nor did it appear on Cold Heat (2005).",Thu Nov 16 14:07:41 +0000 2017,feedback_other,false ,not needed,playlist_library
2957828,816405,"@SpotifyCares I have a Mac and when I use the desktop app Spotify, I cannot hear anything. I have chosen Listening on a Mac chosen so it is not routing it anywhere else. What is wrong? Volume is not down btw.",Wed Nov 29 19:15:48 +0000 2017,app_technical_issue,false,not needed,app_technical_issue
875172,327787,@SpotifyCares My email is associated with an FB account I don't have access to -- so I can't log in to that Spotify account to cancel. Help?,Fri Oct 20 17:14:27 +0000 2017,account_login_security,true,account access issue requiring account-specific investigation,account_login_security
1999695,591272,@115888 @SpotifyCares,Thu Nov 02 21:27:53 +0000 2017,feedback_other,false,not needed,feedback_other
2774554,775410,@SpotifyCares Great Thank you!,Tue Nov 21 18:24:42 +0000 2017,feedback_other,false,not needed,feedback_other
2456278,703616,@SpotifyCares The updated version is out and it’s solid. 👌🏻,Mon Nov 20 14:24:39 +0000 2017,feedback_other,false,not needed,feedback_other
1894635,564755,@SpotifyCares My credit card was charged a student rate but I am already a premium customer. Can you refund the student rate please?,Tue Oct 24 08:34:38 +0000 2017,billing_payment,true,refund request requiring billing investigation,billing_payment
1969148,583389,@SpotifyCares Voted! https://t.co/Idsn569mrY,Tue Oct 31 15:58:24 +0000 2017,feedback_other,false,not needed,feedback_other
1172344,164928,@SpotifyCares  https://t.co/VGxMMc2DMq,Tue Oct 24 20:17:20 +0000 2017,feedback_other,false,not needed,feedback_other
664699,278413,"@SpotifyCares Didn't help. It's an issue with 2014 MBPs, they overheat when there is a fancy animation going on, happens on websites too.",Wed Oct 25 16:39:57 +0000 2017,app_technical_issue,false,not needed,app_technical_issue
1211754,404409,Reset phone. All Spotify lists gone. Doesn't recognise I'm premium account holder. Account works on wifes phone with all lists @SpotifyCares,Sun Oct 15 18:19:58 +0000 2017,account_login_security,true,account access and Premium status requiring account-specific investigation,premium_subscription
839937,319829,@115888 @SpotifyCares please put aoa heart attack back on spotify https://t.co/FbHygo9sD3,Fri Oct 13 02:20:43 +0000 2017,feedback_other,false,not needed,feedback_other
1779321,209818,@SpotifyCares @16134 problem solved,Wed Oct 11 18:10:28 +0000 2017,feedback_other,false,not needed,feedback_other
551307,248470,@SpotifyCares DM!!!,Sat Dec 02 18:23:07 +0000 2017,feedback_other,false,not needed,feedback_other
