tweet_id,author_id,text,intent,notes
1301944,424267,@SpotifyCares Best response ever! Me @ the use of that song https://t.co/TpgOEZyFhe,,
1380867,441421,"@SpotifyCares Spotify Student + Hulu renews tomorrow, but my Hulu is wanting me to pay up to watch anything today. Obviously, renewing the sub tomorrow, so what gives? Why has the Hulu side of things cut me off?",,
1790160,537736,"@SpotifyCares I just dumped the whole thing. I'd expect its your job to figure this out, isn't it. 
I'd expect some auto-updater left over garbage coupled with audio cache. But who knows",,
1814781,545167,"@SpotifyCares my band's ""related artists"" section just disappeared :( why tho spotify:artist:0gI3tMeaM9sOpBtXulMbAh",,
254988,176622,"@SpotifyCares Uh no....that""s not an answer. Give me, and you other customers that have been asking for this for 5 years, the REASON why you don't provide this when every other music streaming service does. Answer?",,
1244355,411933,@SpotifyCares Ummm...so it still says Would instead of Wound. #SecondhandEmbarassment.,,
1049686,368087,"@SpotifyCares They don't have an account so it says their email address is invalid, I invited them to join through my log in via email",,
1124160,163532,"@SpotifyCares Yep! And individual songs, are fine just the daily mixes glitches out. i logged into the test account that u guys had me try. No problems",,
9358,117670,@SpotifyCares I'm new at this how do i DELETE and what's dm,,
967401,349614,@SpotifyCares But I have done the reset function and it still hasn’t worked 😢 https://t.co/vU6OHkIurZ,,
244331,174039,@SpotifyCares I used to have premium till it started to do that,,
1427798,451665,@SpotifyCares iOS 11.2 (beta) spotify 8.4.26.793,,
61516,130089,@115888 @SpotifyCares I’ve been listening to @3400 for four years loop masterpiece “9” every morning why haven’t I got presale code?,,
1579277,486323,@SpotifyCares HA! Right now you're https://t.co/OnTOem70Zr,,
2383568,687093,"@SpotifyCares W/ your follow up to my 2nd tweet, presently there's no issues b/c generally I can cope with no solution (aka forget about it). I just find it sad that it's presented to the users that Spotify never seems to add features, esp. when there's PLENTY of support thrown behind it. +",,
1756658,528937,"@SpotifyCares 
It won’t let me play songs on mobile😬help please https://t.co/47QoaHN7Y9",,
301658,187967,@SpotifyCares You should be replying to @187968. He's the one whose music is being uploaded to your site fraudulently.,,
48130,126763,@SpotifyCares 1972mazz is one of them. It doesnt have anything to do with the account. its the application on a macbook,,
2407009,692215,@338880 @SpotifyCares Just do a family bundle with 6 people and all you'll have to pay is £15 per month that's only £2.50 each that's what I'm on and it's cheap just gather up 5 people who would want to join with you.,,
712183,290317,"@SpotifyCares v1.0.65.320.gac7a8e02 - Thought it might be my internet, but haven't seen anything else having issues.",,
1790414,537823,@SpotifyCares Love it! Good to know and thanks again for your time!,,
1516286,471805,"@SpotifyCares I saved the song Gummo by 6ix9ine yesterday and it played, but for some reason it's not playing now. What's going on?",,
1824347,547643,@SpotifyCares DM sent,,
1450221,456526,@SpotifyCares I have tried both ways.,,
1853568,554636,"@SpotifyCares No thanks, I don't really want to be suggested Premium.",,
468339,226512,"@SpotifyCares I’ve been constantly trying to delete songs in my library but they always seem to come back. I’ve tried already the connect/disconnect method that I was first suggested. Also, it was stated that this is “odd” by the support group, even though if you google the...",,
1995570,255909,"@SpotifyCares Mystreamcount arenot updated for my songYour BeautifulFace to my aggregater
as they are saying spotify has notgiven themreport",,
435877,615588,@218539 @SpotifyCares Problem network je ni 😶,,
1883964,562152,@SpotifyCares ion wanna read your content miss me with that shit,,
2834979,789130,@SpotifyCares any way to get play/pause button working again with OSX 10.13?,,
2507490,714898,@SpotifyCares Awesome! Hope to see the update soon! 🙌🏼,,
1993460,510239,@SpotifyCares Sounds great! Just wanted to bring it to someone’s attention in case it wasn’t already discovered.,,
2251358,434441,hey @SpotifyCares y’all double charged my account this month and i can’t figure out how else to resolve this matter. could y’all DM me?,,
2714235,761956,@SpotifyCares No,,
2479188,708522,"@SpotifyCares I guess spotify cares for only 1 message, i am still waiting your reply",,
1269705,417280,"@SpotifyCares Samsung Galaxy s6, Android 7.0, and Spotify 8.4.24",,
1641065,501691,@115888 @SpotifyCares guys there is a problem with one of your playlists!,,
723048,293133,@SpotifyCares No. I already tried that...,,
1906842,568149,@115888 @SpotifyCares,,
2338258,556800,"@SpotifyCares okay cool, thank you!",,
337531,196547,"@SpotifyCares But that thread is from March. It's been 7 months so I'm not ""rest assured"" this is going to be resolved anytime in the near future.",,
351223,199558,@SpotifyCares Why,,
2355331,573436,@SpotifyCares I upgraded to Premium for Family but it’s saying the address is wrong to add family members. I don’t think I ever got prompted to enter an address?,,
488777,231391,"@SpotifyCares I'm suddenly unable to log into my account on either desktop or iPhone. When I tried to enter my password, it wasn't recognizing that there was an account associated with my user name.",,
1148117,183147,@SpotifyCares My music keeps stuttering/skipping ever since I upgraded to iOS 11... tried reinstalling but it doesn’t fix it,,
2902825,803989,@SpotifyCares I have a US premium account.,,
867588,326012,@SpotifyCares I'm on macOs 10.12.5 and Chrome 61.0.3163.100,,
2504270,714195,@SpotifyCares How do you copy URI on @115888 ?,,
187640,160032,"@SpotifyCares 1st in playlist playing song 28, 2nd playing 111th song in playlist , always the same things",,
442003,219805,"""You can get a family plan for cheaper.""
""Will kids lose current lists?""
""Hmm good Q, maybe @SpotifyCares knows""  #overheardinnyc",,
797689,310182,"@SpotifyCares I'm running Spotify 1.0.65.320.gac7a8e02 on macOS Sierra version 10.12.6. Also on a Huawei P9 Lite, Android 7.0, Spotify 8.4.22.857 armV7",,
528375,242336,"Hey @115888, Could you guys add this brand new Xmas single by @23298 to some of your Christmas/holiday playlists? Xo 🎄☃🎅🏻
[ To: @SpotifyCares @116130 @117168 @126761 @2069 @191335 @22875 ]

https://t.co/yZInuR6eBi",,
698862,286693,"@SpotifyCares unfortunately, this didn't work either. :( really missing my spotify during the work day!",,
1805582,542515,@SpotifyCares Did you take away the place on the artists' page that shows which playlists they are featured in? I always found that helpful,,
2080863,332107,"@SpotifyCares then when I go to that account associated with my email, it won’t let me use it as a student 2/2",,
1261987,415610,"Hi @SpotifyCares - webplayer not working for me. Have tried various browsers, cache deletes etc. Any known issues at present? Thx",,
1870176,558551,@SpotifyCares I signed up for student premium but I'm still receiving ads. Any help?,,
860922,166011,"@SpotifyCares 

my daily mix keeps stopping for no reason. it’s not my internet connection.

help please. thanks.",,
1272625,417897,"@SpotifyCares When playing a playlist on Wi-Fi or mobile data, it refuses to play the radio based off the playlist, I have made sure it's switched on.",,
1098089,379116,@115888 @117168 @SpotifyCares I 'm trying to update my payment options bc I got a new credit card and reregister my premium account and I keep getting the oops your card is having a bad day. please help me!!!,,
2593448,491145,"Make the JLS discography available in Argentina, I'm getting tired of your broken promithes promithes. @SpotifyCares https://t.co/fD0z1ukXql",,
2138977,629092,"@SpotifyCares Another app updated, no iPhone X full screen support. What the hell are you guys playing at?!?! You’re a massive company, even the small app companies have iPhone X full screen support. You need to up your game right away or I’m going to simply switch to Apple Music. Disgusting!",,
2859016,794517,@115888 @SpotifyCares  what has happened to the layout on the iPhone app.  Is this to do with the zoom view? This is now unusable. https://t.co/BeClKHvKcv,,
567969,253236,@SpotifyCares This video shows it https://t.co/7qjdKJJeGH,,
887918,330829,@SpotifyCares Im on an iphone 6+ btw,,
1181057,397759,@SpotifyCares is there a way to listen to Spotify on xbox one without the music coming through the Elgato?? @21330 @XboxSupport,,
578114,256082,@SpotifyCares I already replied. Thanks!,,
1942605,238856,"@SpotifyCares my acct keeps telling me I can’t download any more songs, so I un-downloaded a bunch but it’s still saying I have no room :(",,
2069987,612158,"@SpotifyCares hello, I want to transfer the ownership for my premium family account but I can't access my previous account. what to do?",,
566276,252746,@SpotifyCares macOS High Sierra 10.13.2 Public Beta (Build 17C79a). Spotify 1.0.68.407.g6864aaaf.,,
944371,343923,@SpotifyCares @115888 @SpotifyCares,,
2391979,354084,@SpotifyCares @688879 It’s getting beyond a joke now. Your developers have had since June to get the app ready. Really is shameful.,,
753972,190674,@SpotifyCares __email__,,
1517203,301192,"@SpotifyCares This only works if you format the SD card as ""portable storage"", which is how I have it on my phone, I opted for int fmt with my new device.",,
1725333,521826,@SpotifyCares Which website should I link the song from?,,
1395871,444595,@SpotifyCares I use chrome.,,
2439896,699798,@SpotifyCares I'll have to have a go tomorrow night,,
2577795,730875,"@SpotifyCares iPhone 7 Plus, iOS 11.0.2",,
1760771,529914,"@SpotifyCares Here you go. Does not show up in search results but it was still in my play history:
https://t.co/0qgC65wAx9",,
2442033,700302,@SpotifyCares could you get involved with this please? Thinking of going to Apple Music otherwise. https://t.co/fTITdyHp6q cheers.,,
